Fund,Date,Price,Currency
IDTG.L,2026-09-02,2.799,GBP
IE0008368742,2026-09-02,195.56,USD
IE00B0M63516,2026-09-02,30.68,USD
IGLS.L,2026-09-02,125.16,GBP
IGWD.L,2026-09-02,13444,GBp
INXG.L,2026-09-02,10.748,GBP
ISPE.L,2026-09-02,7.639,GBP
IUAG.L,2026-09-02,92.19,USD
IWDG.L,2026-09-02,1259.5,GBp
JFM0003373,2026-09-02,197.24,USD
KNSL,2026-09-02,376.78,USD
LU0164881194,2026-09-02,294.42,USD
LU0196696453,2026-09-02,21.36,USD
MU0129U00005,2026-09-02,312.85,USD
QNTG.L,2026-09-02,21.22,GBP
QQQ,2026-09-02,709.24,USD
SGLN.L,2026-09-02,6281,GBp
0639.HK,2026-09-03,2.95,HKD
0P00000YAN,2026-09-03,198.3,USD
BCHS.L,2026-09-03,14394,GBp
CNX1.L,2026-09-03,125160,GBp
DPYG.L,2026-09-03,5.227,GBP
EWQX.L,2026-09-03,605.6,GBp
FLOS.L,2026-09-03,478.475,GBp
GB00B1FXTF86,2026-09-03,7.37,GBP
GHYS.L,2026-09-03,88.62,GBP
GRAB,2026-09-03,3.42,USD
IDTG.L,2026-09-03,2.818,GBP
IE0008368742,2026-09-03,195.38,USD
IE00B0M63516,2026-09-03,30.76,USD
IGLS.L,2026-09-03,125.45,GBP
IGWD.L,2026-09-03,13557,GBp
INXG.L,2026-09-03,10.832,GBP
ISPE.L,2026-09-03,7.676,GBP
IUAG.L,2026-09-03,92.46,USD
IWDG.L,2026-09-03,1270.5,GBp
JFM0003373,2026-09-03,198.3,USD
KNSL,2026-09-03,382.98,USD
LU0164881194,2026-09-03,295.52,USD
LU0196696453,2026-09-03,21.45,USD
MU0129U00005,2026-09-03,314.44,USD
QNTG.L,2026-09-03,21.435,GBP
QQQ,2026-09-03,717.67,USD
SGLN.L,2026-09-03,6454,GBp
0639.HK,2026-09-04,2.98,HKD
0P00000YAN,2026-09-04,199.52,USD
BCHS.L,2026-09-04,14536,GBp
CNX1.L,2026-09-04,125170,GBp
DPYG.L,2026-09-04,5.251,GBP
EWQX.L,2026-09-04,604.6,GBp
FLOS.L,2026-09-04,478.475,GBp
GB00B1FXTF86,2026-09-04,7.32,GBP
GHYS.L,2026-09-04,88.53,GBP
GRAB,2026-09-04,3.42,USD
IDTG.L,2026-09-04,2.814,GBP
IE0008368742,2026-09-04,197.12,USD
IE00B0M63516,2026-09-04,30.75,USD
IGLS.L,2026-09-04,125.43,GBP
IGWD.L,2026-09-04,13509,GBp
INXG.L,2026-09-04,10.868,GBP
ISPE.L,2026-09-04,7.653,GBP
IUAG.L,2026-09-04,92.37,USD
IWDG.L,2026-09-04,1266.5,GBp
JFM0003373,2026-09-04,199.52,USD
KNSL,2026-09-04,373.17,USD
LU0164881194,2026-09-04,295.37,USD
LU0196696453,2026-09-04,21.40,USD
MU0129U00005,2026-09-04,314.72,USD
QNTG.L,2026-09-04,21.51,GBP
QQQ,2026-09-04,718.96,USD
SGLN.L,2026-09-04,6367,GBp
0639.HK,2026-09-07,2.96,HKD
BCHS.L,2026-09-07,14404,GBp
CNX1.L,2026-09-07,125370,GBp
DPYG.L,2026-09-07,5.176,GBP
EWQX.L,2026-09-07,602.4,GBp
FLOS.L,2026-09-07,478.65,GBp
GB00B1FXTF86,2026-09-07,7.30,GBP
GHYS.L,2026-09-07,88.44,GBP
IDTG.L,2026-09-07,2.80625,GBP
IE0008368742,2026-09-07,197.18,USD
IE00B0M63516,2026-09-07,30.47,USD
IGLS.L,2026-09-07,125.35,GBP
IGWD.L,2026-09-07,13508,GBp
INXG.L,2026-09-07,10.86,GBP
ISPE.L,2026-09-07,7.613,GBP
IUAG.L,2026-09-07,92.34,USD
IWDG.L,2026-09-07,1265.5,GBp
LU0164881194,2026-09-07,294.47,USD
MU0129U00005,2026-09-07,313.20,USD
QNTG.L,2026-09-07,21.555,GBP
SGLN.L,2026-09-07,6321,GBp
0639.HK,2026-09-08,3.04,HKD
0P00000YAN,2026-09-08,200.39,USD
BCHS.L,2026-09-08,14532,GBp
CNX1.L,2026-09-08,125490,GBp
DPYG.L,2026-09-08,5.2145,GBP
EWQX.L,2026-09-08,600.75,GBp
FLOS.L,2026-09-08,478.25,GBp
GB00B1FXTF86,2026-09-08,7.26,GBP
GHYS.L,2026-09-08,88.445,GBP
GRAB,2026-09-08,3.25,USD
IDTG.L,2026-09-08,2.8135,GBP
IE0008368742,2026-09-08,195.15,USD
IE00B0M63516,2026-09-08,31.29,USD
IGLS.L,2026-09-08,125.35,GBP
IGWD.L,2026-09-08,13477,GBp
INXG.L,2026-09-08,10.864,GBP
ISPE.L,2026-09-08,7.587,GBP
IUAG.L,2026-09-08,92.29,USD
IWDG.L,2026-09-08,1262.5,GBp
JFM0003373,2026-09-08,200.39,USD
KNSL,2026-09-08,367.29,USD
LU0164881194,2026-09-08,291.65,USD
LU0196696453,2026-09-08,21.78,USD
MU0129U00005,2026-09-08,309.46,USD
QNTG.L,2026-09-08,21.965,GBP
QQQ,2026-09-08,718.36,USD
SGLN.L,2026-09-08,6306,GBp
0639.HK,2026-09-09,3.1,HKD
0P00000YAN,2026-09-09,199.12,USD
BCHS.L,2026-09-09,14278,GBp
CNX1.L,2026-09-09,124730,GBp
DPYG.L,2026-09-09,5.154,GBP
EWQX.L,2026-09-09,594.8,GBp
FLOS.L,2026-09-09,478.75,GBp
GB00B1FXTF86,2026-09-09,7.16,GBP
GHYS.L,2026-09-09,88.33,GBP
GRAB,2026-09-09,3.04,USD
IDTG.L,2026-09-09,2.79,GBP
IE0008368742,2026-09-09,195.34,USD
IE00B0M63516,2026-09-09,30.72,USD
IGLS.L,2026-09-09,125.09,GBP
IGWD.L,2026-09-09,13357,GBp
INXG.L,2026-09-09,10.78,GBP
ISPE.L,2026-09-09,7.505,GBP
IUAG.L,2026-09-09,92.01,USD
IWDG.L,2026-09-09,1252,GBp
JFM0003373,2026-09-09,199.12,USD
KNSL,2026-09-09,359.6,USD
LU0164881194,2026-09-09,288.22,USD
LU0196696453,2026-09-09,21.38,USD
MU0129U00005,2026-09-09,305.69,USD
QNTG.L,2026-09-09,21.3,GBP
QQQ,2026-09-09,716.31,USD
SGLN.L,2026-09-09,6300,GBp
0639.HK,2026-09-10,3.06,HKD
0P00000YAN,2026-09-10,197.75,USD
BCHS.L,2026-09-10,14096,GBp
CNX1.L,2026-09-10,124090,GBp
DPYG.L,2026-09-10,5.124,GBP
EWQX.L,2026-09-10,592.3,GBp
FLOS.L,2026-09-10,478.775,GBp
GB00B1FXTF86,2026-09-10,7.12,GBP
GHYS.L,2026-09-10,87.91,GBP
GRAB,2026-09-10,3.01,USD
IDTG.L,2026-09-10,2.771,GBP
IE0008368742,2026-09-10,192.50,USD
IE00B0M63516,2026-09-10,31.12,USD
IGLS.L,2026-09-10,124.69,GBP
IGWD.L,2026-09-10,13310,GBp
INXG.L,2026-09-10,10.742,GBP
ISPE.L,2026-09-10,7.473,GBP
IUAG.L,2026-09-10,91.6,USD
IWDG.L,2026-09-10,1247,GBp
JFM0003373,2026-09-10,197.75,USD
KNSL,2026-09-10,362.7,USD
LU0164881194,2026-09-10,287.57,USD
LU0196696453,2026-09-10,21.75,USD
MU0129U00005,2026-09-10,305.35,USD
QNTG.L,2026-09-10,21.52,GBP
QQQ,2026-09-10,708.69,USD
SGLN.L,2026-09-10,6262,GBp
0639.HK,2026-09-11,3.045,HKD
0P00000YAN,2026-09-11,196.63,USD
BCHS.L,2026-09-11,14340,GBp
CNX1.L,2026-09-11,125210,GBp
DPYG.L,2026-09-11,5.12,GBP
EWQX.L,2026-09-11,593.15,GBp
FLOS.L,2026-09-11,478.825,GBp
GB00B1FXTF86,2026-09-11,7.10,GBP
GHYS.L,2026-09-11,88.03,GBP
GRAB,2026-09-11,3.05,USD
IDTG.L,2026-09-11,2.7825,GBP
IE0008368742,2026-09-11,190.92,USD
IE00B0M63516,2026-09-11,30.93,USD
IGLS.L,2026-09-11,124.88,GBP
IGWD.L,2026-09-11,13409,GBp
INXG.L,2026-09-11,10.782,GBP
ISPE.L,2026-09-11,7.5,GBP
IUAG.L,2026-09-11,91.655,USD
IWDG.L,2026-09-11,1257,GBp
JFM0003373,2026-09-11,196.63,USD
KNSL,2026-09-11,360.01,USD
LU0164881194,2026-09-11,286.68,USD
LU0196696453,2026-09-11,21.52,USD
MU0129U00005,2026-09-11,305.94,USD
QNTG.L,2026-09-11,21.625,GBP
QQQ,2026-09-11,714.88,USD
SGLN.L,2026-09-11,6271,GBp
0639.HK,2026-09-14,2.935,HKD
0P00000YAN,2026-09-14,196.45,USD
BCHS.L,2026-09-14,14074,GBp
CNX1.L,2026-09-14,124180,GBp
DPYG.L,2026-09-14,5.111,GBP
EWQX.L,2026-09-14,591.65,GBp
FLOS.L,2026-09-14,478.85,GBp
GHYS.L,2026-09-14,87.45,GBP
GRAB,2026-09-14,3.02,USD
IDTG.L,2026-09-14,2.7755,GBP
IE0008368742,2026-09-14,190.37,USD
IE00B0M63516,2026-09-14,30.36,USD
IGLS.L,2026-09-14,124.57,GBP
IGWD.L,2026-09-14,13345,GBp
INXG.L,2026-09-14,10.754,GBP
ISPE.L,2026-09-14,7.497,GBP
IUAG.L,2026-09-14,91.47,USD
IWDG.L,2026-09-14,1250,GBp
JFM0003373,2026-09-14,196.45,USD
KNSL,2026-09-14,363.89,USD
LU0196696453,2026-09-14,21.03,USD
QNTG.L,2026-09-14,21.505,GBP
QQQ,2026-09-14,709.18,USD
SGLN.L,2026-09-14,6178,GBp
0639.HK,2026-09-15,2.905,HKD
0P00000YAN,2026-09-15,193.03,USD
BCHS.L,2026-09-15,13760,GBp
CNX1.L,2026-09-15,123520,GBp
DPYG.L,2026-09-15,5.104,GBP
EWQX.L,2026-09-15,587.6,GBp
FLOS.L,2026-09-15,478.775,GBp
GB00B1FXTF86,2026-09-15,6.99,GBP
GHYS.L,2026-09-15,87.775,GBP
GRAB,2026-09-15,2.91,USD
IDTG.L,2026-09-15,2.7645,GBP
IE0008368742,2026-09-15,189.01,USD
IE00B0M63516,2026-09-15,30.57,USD
IGLS.L,2026-09-15,124.71,GBP
IGWD.L,2026-09-15,13268,GBp
INXG.L,2026-09-15,10.754,GBP
ISPE.L,2026-09-15,7.474,GBP
IUAG.L,2026-09-15,91.32,USD
IWDG.L,2026-09-15,1243,GBp
JFM0003373,2026-09-15,193.03,USD
KNSL,2026-09-15,369.2,USD
LU0164881194,2026-09-15,281.17,USD
LU0196696453,2026-09-15,21.06,USD
MU0129U00005,2026-09-15,300.08,USD
QNTG.L,2026-09-15,21.225,GBP
QQQ,2026-09-15,704.54,USD
SGLN.L,2026-09-15,6161,GBp
0639.HK,2026-09-16,2.925,HKD
0P00000YAN,2026-09-16,192.23,USD
BCHS.L,2026-09-16,13648,GBp
CNX1.L,2026-09-16,124710,GBp
DPYG.L,2026-09-16,5.114,GBP
EWQX.L,2026-09-16,592,GBp
FLOS.L,2026-09-16,478.9,GBp
GB00B1FXTF86,2026-09-16,7.02,GBP
GHYS.L,2026-09-16,88.04,GBP
GRAB,2026-09-16,2.87,USD
IDTG.L,2026-09-16,2.7745,GBP
IE0008368742,2026-09-16,188.65,USD
IE00B0M63516,2026-09-16,30.35,USD
IGLS.L,2026-09-16,125,GBP
IGWD.L,2026-09-16,13341,GBp
INXG.L,2026-09-16,10.834,GBP
ISPE.L,2026-09-16,7.472,GBP
IUAG.L,2026-09-16,91.48,USD
IWDG.L,2026-09-16,1249.5,GBp
JFM0003373,2026-09-16,192.23,USD
KNSL,2026-09-16,360.75,USD
LU0164881194,2026-09-16,282.06,USD
LU0196696453,2026-09-16,21.12,USD
MU0129U00005,2026-09-16,301.07,USD
QNTG.L,2026-09-16,21.22,GBP
QQQ,2026-09-16,704.72,USD
SGLN.L,2026-09-16,6270,GBp
0639.HK,2026-09-17,2.89,HKD
0P00000YAN,2026-09-17,192.43,USD
BCHS.L,2026-09-17,13992,GBp
CNX1.L,2026-09-17,126640,GBp
DPYG.L,2026-09-17,5.097,GBP
EWQX.L,2026-09-17,595.75,GBp
FLOS.L,2026-09-17,479.325,GBp
GB00B1FXTF86,2026-09-17,7.09,GBP
GHYS.L,2026-09-17,88.045,GBP
GRAB,2026-09-17,2.81,USD
IDTG.L,2026-09-17,2.7955,GBP
IE0008368742,2026-09-17,187.62,USD
IE00B0M63516,2026-09-17,30.20,USD
IGLS.L,2026-09-17,125.12,GBP
IGWD.L,2026-09-17,13390,GBp
INXG.L,2026-09-17,10.996,GBP
ISPE.L,2026-09-17,7.447,GBP
IUAG.L,2026-09-17,91.65,USD
IWDG.L,2026-09-17,1253.5,GBp
JFM0003373,2026-09-17,192.43,USD
KNSL,2026-09-17,359.53,USD
LU0164881194,2026-09-17,284.18,USD
LU0196696453,2026-09-17,21.09,USD
MU0129U00005,2026-09-17,303.73,USD
QNTG.L,2026-09-17,21.875,GBP
QQQ,2026-09-17,716.92,USD
SGLN.L,2026-09-17,6333,GBp
0639.HK,2026-09-18,2.785,HKD
0P00000YAN,2026-09-18,191.79,USD
BCHS.L,2026-09-18,14438,GBp
CNX1.L,2026-09-18,126530,GBp
DPYG.L,2026-09-18,5.061,GBP
EWQX.L,2026-09-18,595.05,GBp
FLOS.L,2026-09-18,479.25,GBp
GB00B1FXTF86,2026-09-18,7.15,GBP
GHYS.L,2026-09-18,87.88,GBP
GRAB,2026-09-18,2.795,USD
IDTG.L,2026-09-18,2.7785,GBP
IE0008368742,2026-09-18,189.07,USD
IE00B0M63516,2026-09-18,29.88,USD
IGLS.L,2026-09-18,124.87,GBP
IGWD.L,2026-09-18,13339,GBp
INXG.L,2026-09-18,10.992,GBP
ISPE.L,2026-09-18,7.42,GBP
IUAG.L,2026-09-18,91.31,USD
IWDG.L,2026-09-18,1249.5,GBp
JFM0003373,2026-09-18,191.79,USD
KNSL,2026-09-18,356.85,USD
LU0164881194,2026-09-18,286.02,USD
LU0196696453,2026-09-18,20.90,USD
MU0129U00005,2026-09-18,305.38,USD
QNTG.L,2026-09-18,21.395,GBP
QQQ,2026-09-18,721.45,USD
SGLN.L,2026-09-18,6317,GBp
0639.HK,2026-09-21,2.79,HKD
BCHS.L,2026-09-21,15178,GBp
CNX1.L,2026-09-21,130100,GBp
DPYG.L,2026-09-21,5.084,GBP
EWQX.L,2026-09-21,608.2,GBp
FLOS.L,2026-09-21,479.325,GBp
GB00B1FXTF86,2026-09-21,7.15,GBP
GHYS.L,2026-09-21,87.93,GBP
GRAB,2026-09-21,2.91,USD
IDTG.L,2026-09-21,2.794,GBP
IE0008368742,2026-09-21,190.19,USD
IE00B0M63516,2026-09-21,30.33,USD
IGLS.L,2026-09-21,125.1,GBP
IGWD.L,2026-09-21,13518,GBp
INXG.L,2026-09-21,11.026,GBP
ISPE.L,2026-09-21,7.452,GBP
IUAG.L,2026-09-21,91.56,USD
IWDG.L,2026-09-21,1266,GBp
KNSL,2026-09-21,358.19,USD
LU0164881194,2026-09-21,287.27,USD
LU0196696453,2026-09-21,21.37,USD
MU0129U00005,2026-09-21,305.74,USD
QNTG.L,2026-09-21,22.255,GBP
QQQ,2026-09-21,741.47,USD
SGLN.L,2026-09-21,6314,GBp
0639.HK,2026-09-22,2.75,HKD
BCHS.L,2026-09-22,15266,GBp
CNX1.L,2026-09-22,131940,GBp
DPYG.L,2026-09-22,5.098,GBP
EWQX.L,2026-09-22,616.7,GBp
FLOS.L,2026-09-22,479.375,GBp
GB00B1FXTF86,2026-09-22,7.14,GBP
GHYS.L,2026-09-22,88.2,GBP
GRAB,2026-09-22,3.17,USD
IDTG.L,2026-09-22,2.7925,GBP
IE0008368742,2026-09-22,191.30,USD
IE00B0M63516,2026-09-22,30.27,USD
IGLS.L,2026-09-22,125.03,GBP
IGWD.L,2026-09-22,13570,GBp
INXG.L,2026-09-22,10.994,GBP
ISPE.L,2026-09-22,7.445,GBP
IUAG.L,2026-09-22,91.51,USD
IWDG.L,2026-09-22,1271,GBp
KNSL,2026-09-22,351.83,USD
QNTG.L,2026-09-22,22.22,GBP
QQQ,2026-09-22,747.46,USD
SGLN.L,2026-09-22,6297,GBp
